Date,Message
2026-07-03T08:00:00.000-03:00,"CLOSED=1783076400000,id=DCA-1,entry_time=1782367200000,entry_price=0.007979,exit_price=0.009094,size=275758.335,profit=302.7625214709999,commission=4.708022054,exit_comment=🏁 Exit"
2026-07-03T08:00:00.000-03:00,"CLOSED=1783076400000,id=DCA-2,entry_time=1782471600000,entry_price=0.008008,exit_price=0.009094,size=424416.427,profit=453.6578699870001,commission=7.258369735000001,exit_comment=🏁 Exit"
2026-07-03T08:00:00.000-03:00,"CLOSED=1783076400000,id=DCA-3,entry_time=1782666000000,entry_price=0.007949,exit_price=0.009094,size=578761.952,profit=652.8185950920002,commission=9.863839947999999,exit_comment=🏁 Exit"
2026-07-03T09:00:00.000-03:00,"ENTRY=1783080000000,id=Entry,price=0.009141,size=109421.162,comment=🟢 Entry"
2026-07-05T05:00:00.000-03:00,"STATE=1783238400000,level=2,ep1=0.009139,total_inv=3200,close=0.008988"
2026-07-05T06:00:00.000-03:00,"ENTRY=1783242000000,id=DCA-1,price=0.008988,size=244770.805,comment=DCA-1"
2026-07-07T06:00:00.000-03:00,"STATE=1783414800000,level=3,ep1=0.009139,total_inv=6600,close=0.008156"
2026-07-07T07:00:00.000-03:00,"ENTRY=1783418400000,id=DCA-2,price=0.008156,size=416871.015,comment=DCA-2"
2026-07-09T09:00:00.000-03:00,"STATE=1783598400000,level=4,ep1=0.009139,total_inv=11200,close=0.007763"
2026-07-09T10:00:00.000-03:00,"ENTRY=1783602000000,id=DCA-3,price=0.007761,size=592554.424,comment=DCA-3"
2026-07-14T14:00:00.000-03:00,"STATE=1784048400000,level=5,ep1=0.009139,total_inv=16200,close=0.008093"
2026-07-16T00:00:00.000-03:00,"STATE=1784170800000,level=6,ep1=0.009139,total_inv=21200,close=0.00821"
2026-07-18T06:00:00.000-03:00,"STATE=1784365200000,level=0,ep1=na,total_inv=0,close=0.008384"
2026-07-18T06:00:00.000-03:00,"CLOSED=1784365200000,id=Entry,entry_time=1783080000000,entry_price=0.009141,exit_price=0.008425,size=109421.162,profit=-80.26764412419995,commission=1.9220921322,exit_comment=🏁 Exit"
2026-07-18T06:00:00.000-03:00,"CLOSED=1784365200000,id=DCA-1,entry_time=1783242000000,entry_price=0.008988,exit_price=0.008425,size=244770.805,profit=-142.06815724299983,commission=4.262194028,exit_comment=🏁 Exit"
2026-07-18T06:00:00.000-03:00,"CLOSED=1784365200000,id=DCA-2,entry_time=1783418400000,entry_price=0.008156,exit_price=0.008425,size=416871.015,profit=105.22616473400006,commission=6.912138301000001,exit_comment=🏁 Exit"
2026-07-18T06:00:00.000-03:00,"CLOSED=1784365200000,id=DCA-3,entry_time=1783602000000,entry_price=0.007761,exit_price=0.008425,size=592554.424,profit=383.8650516270003,commission=9.591085909,exit_comment=🏁 Exit"
2026-07-19T19:00:00.000-03:00,"STATE=1784498400000,level=1,ep1=0.009056,total_inv=1000,close=0.009056"
2026-07-19T20:00:00.000-03:00,"ENTRY=1784502000000,id=Entry,price=0.009057,size=110424.028,comment=🟢 Entry"
2026-07-21T02:00:00.000-03:00,"STATE=1784610000000,level=0,ep1=na,total_inv=0,close=0.009847"
2026-07-21T02:00:00.000-03:00,"CLOSED=1784610000000,id=Entry,entry_time=1784502000000,entry_price=0.009057,exit_price=0.009794,size=110424.028,profit=79.30090528399998,commission=2.081603352,exit_comment=🏁 Exit"
2026-07-21T03:00:00.000-03:00,"STATE=1784613600000,level=1,ep1=0.009755,total_inv=1000,close=0.009755"
2026-07-21T04:00:00.000-03:00,"ENTRY=1784617200000,id=Entry,price=0.009759,size=102511.532,comment=🟢 Entry"
2026-07-22T08:00:00.000-03:00,"STATE=1784718000000,level=2,ep1=0.009755,total_inv=3200,close=0.010241"
2026-07-22T09:00:00.000-03:00,"ENTRY=1784721600000,id=DCA-1,price=0.010243,size=214822.771,comment=DCA-1"
2026-07-23T22:00:00.000-03:00,"STATE=1784854800000,level=3,ep1=0.009755,total_inv=6600,close=0.007859"
2026-07-23T23:00:00.000-03:00,"ENTRY=1784858400000,id=DCA-2,price=0.007859,size=432625.015,comment=DCA-2"
2026-07-25T15:00:00.000-03:00,"STATE=1785002400000,level=4,ep1=0.009755,total_inv=11200,close=0.007899"
2026-07-25T16:00:00.000-03:00,"ENTRY=1785006000000,id=DCA-3,price=0.007902,size=582352.196,comment=DCA-3"
2026-07-26T06:00:00.000-03:00,"STATE=1785056400000,level=0,ep1=na,total_inv=0,close=0.008497"
2026-07-26T06:00:00.000-03:00,"CLOSED=1785056400000,id=Entry,entry_time=1784617200000,entry_price=0.009759,exit_price=0.008638,size=102511.532,profit=-116.80133202660005,commission=1.8859046546,exit_comment=🏁 Exit"
2026-07-26T06:00:00.000-03:00,"CLOSED=1785056400000,id=DCA-1,entry_time=1784721600000,entry_price=0.010243,exit_price=0.008638,size=214822.771,profit=-348.84661619400015,commission=4.056068739000001,exit_comment=🏁 Exit"
2026-07-26T06:00:00.000-03:00,"CLOSED=1785056400000,id=DCA-2,entry_time=1784858400000,entry_price=0.007859,exit_price=0.008638,size=432625.015,profit=329.8778718120001,commission=7.137014873,exit_comment=🏁 Exit"
2026-07-26T06:00:00.000-03:00,"CLOSED=1785056400000,id=DCA-3,entry_time=1785006000000,entry_price=0.007902,exit_price=0.008638,size=582352.196,profit=418.9791109330003,commission=9.632105323000001,exit_comment=🏁 Exit"
2026-07-28T16:00:00.000-03:00,"STATE=1785265200000,level=1,ep1=0.008241,total_inv=1000,close=0.008241"
2026-07-28T17:00:00.000-03:00,"ENTRY=1785268800000,id=Entry,price=0.008242,size=121344.497,comment=🟢 Entry"
2026-07-29T19:00:00.000-03:00,"STATE=1785362400000,level=2,ep1=0.008241,total_inv=3200,close=0.008013"
2026-07-29T20:00:00.000-03:00,"ENTRY=1785366000000,id=DCA-1,price=0.008008,size=274553.849,comment=DCA-1"
2026-07-30T01:00:00.000-03:00,"STATE=1785384000000,level=0,ep1=na,total_inv=0,close=0.008506"
2026-07-30T01:00:00.000-03:00,"CLOSED=1785384000000,id=Entry,entry_time=1785268800000,entry_price=0.008242,exit_price=0.008331,size=121344.497,profit=8.788617884000065,commission=2.011042349,exit_comment=🏁 Exit"
2026-07-30T01:00:00.000-03:00,"CLOSED=1785384000000,id=DCA-1,entry_time=1785366000000,entry_price=0.008008,exit_price=0.008331,size=274553.849,profit=84.19495788800009,commission=4.485935339,exit_comment=🏁 Exit"
2026-07-30T11:00:00.000-03:00,"STATE=1785420000000,level=1,ep1=0.008133,total_inv=1000,close=0.008133"
2026-07-30T12:00:00.000-03:00,"ENTRY=1785423600000,id=Entry,price=0.008135,size=122955.85800000001,comment=🟢 Entry"
2026-08-01T07:00:00.000-03:00,"STATE=1785578400000,level=0,ep1=na,total_inv=0,close=0.008778"
2026-08-01T07:00:00.000-03:00,"CLOSED=1785578400000,id=Entry,entry_time=1785423600000,entry_price=0.008135,exit_price=0.008618,size=122955.85800000001,profit=57.327799924999894,commission=2.059879489,exit_comment=🏁 Exit"
2026-08-01T22:00:00.000-03:00,"STATE=1785632400000,level=1,ep1=0.010568,total_inv=1000,close=0.010568"
2026-08-01T23:00:00.000-03:00,"ENTRY=1785636000000,id=Entry,price=0.010561,size=94625.283,comment=🟢 Entry"
2026-08-02T03:00:00.000-03:00,"CLOSED=1785650400000,id=Entry,entry_time=1785636000000,entry_price=0.010561,exit_price=0.012923,size=94625.283,profit=221.28273830019995,commission=2.2221801458,exit_comment=🏁 Exit"
2026-08-02T04:00:00.000-03:00,"ENTRY=1785654000000,id=Entry,price=0.013345,size=74934.432,comment=🚀 Re-Entry"
2026-08-02T05:00:00.000-03:00,"CLOSED=1785657600000,id=Entry,entry_time=1785654000000,entry_price=0.013345,exit_price=0.013769,size=74934.432,profit=29.74042697900006,commission=2.031772189,exit_comment=🏁 Exit"
2026-08-02T06:00:00.000-03:00,"ENTRY=1785661200000,id=Entry,price=0.014032,size=71255.522,comment=🚀 Re-Entry"
2026-08-02T11:00:00.000-03:00,"CLOSED=1785679200000,id=Entry,entry_time=1785661200000,entry_price=0.014032,exit_price=0.01591,size=71255.522,profit=131.68433747630007,commission=2.1335328397,exit_comment=🏁 Exit"
2026-08-02T12:00:00.000-03:00,"ENTRY=1785682800000,id=Entry,price=0.016937,size=59077.213,comment=🚀 Re-Entry"
2026-08-02T16:00:00.000-03:00,"STATE=1785697200000,level=0,ep1=na,total_inv=0,close=0.018121"
2026-08-02T16:00:00.000-03:00,"CLOSED=1785697200000,id=Entry,entry_time=1785682800000,entry_price=0.016937,exit_price=0.018373,size=59077.213,profit=82.74886147699999,commission=2.086016391,exit_comment=🏁 Exit"
2026-08-02T18:00:00.000-03:00,"STATE=1785704400000,level=1,ep1=0.019529,total_inv=1000,close=0.019529"
2026-08-02T19:00:00.000-03:00,"ENTRY=1785708000000,id=Entry,price=0.019531,size=51205.898,comment=🚀 Re-Entry"
2026-08-03T01:00:00.000-03:00,"STATE=1785729600000,level=0,ep1=na,total_inv=0,close=0.020895"
